,location,total_sqft,bath,balcony,price,bhk
228,Hebbal,1900.0,3.0,2,11900000.0,3.0
229,Dommasandra,805.0,2.0,1,2214000.0,2.0
230,Budigere,1153.0,2.0,2,5640000.0,2.0
231,Dodda Nekkundi Extension,1148.0,2.0,2,6000000.0,2.0
232,Mylasandra,1110.0,2.0,2,5500000.0,2.0
233,Electronic City,1100.0,2.0,2,4200000.0,2.0
234,Kalyan nagar,1290.0,2.0,2,11000000.0,2.0
235,Dr Shivarama Karantha Nagar,1500.0,2.0,1,6500000.0,3.0
236,Bank Of Baroda Colony,1080.0,2.0,2,3900000.0,2.0
237,Vijayanagar,1933.0,3.0,1,12900000.0,3.0
238,Ramamurthy Nagar,3500.0,5.0,2,15000000.0,5.0
239,Kullappa Colony,1060.0,2.0,2,6000000.0,2.0
240,Chandapura,645.0,1.0,1,1645000.0,1.0
241,Mukkutam Nagar,2600.0,8.0,2,18000000.0,8.0
242,Chandapura,645.0,1.0,1,1645000.0,1.0
243,Ashwath Nagar,1644.0,3.0,3,8400000.0,3.0
244,Ncpr Industrial Layout,1285.0,2.0,3,7250000.0,2.0
245,Electronic City,1200.0,3.0,1,9000000.0,3.0
246,Electronic City,910.0,2.0,1,4000000.0,2.0
247,Kothanur,1577.0,3.0,1,7000000.0,3.0
248,Meenakunte,4050.0,3.0,2,28000000.0,3.0
249,OMBR Layout,2420.0,3.0,2,18500000.0,3.0
250,Chandapura,800.0,1.0,1,2000000.0,2.0
251,Anand Nagar,1060.0,2.0,2,5500000.0,2.0
252,7th Phase JP Nagar,1270.0,2.0,2,9300000.0,2.0
253,Shree Ananth Nagar Layout,900.0,2.0,2,2250000.0,2.0
254,Kundalahalli Colony,1280.0,2.0,1,6900000.0,2.0
255,Horamavu Agara,1200.0,2.0,0,9500000.0,4.0
256,Sarjapur  Road,1025.0,2.0,2,3600000.0,2.0
257,Electronic City,1108.0,2.0,1,6300000.0,2.0
258,MCECHS  layout,1200.0,5.0,1,17000000.0,5.0
259,Coffee Board Layout,3045.0,3.0,2,17000000.0,3.0
260,Ambedkar Nagar,2900.0,3.0,2,30000000.0,4.0
261,Vijayanagar,1500.0,3.0,2,7550000.0,3.0
262,Raja Rajeshwari Nagar,1295.0,2.0,2,4390000.0,2.0
263,Budigere,1162.0,2.0,1,5990000.0,2.0
264,Sarjapur  Road,1035.0,2.0,2,4920000.0,2.0
265,Attibele,1600.0,4.0,0,5280000.0,4.0
266,KUDLU MAIN ROAD,1464.0,3.0,2,4600000.0,3.0
267,Hennur Road,1866.0,2.0,2,6158000.0,3.0
268,Geleyara Balaga Layout,700.0,1.0,1,2600000.0,2.0
269,Kalena Agrahara,1804.0,3.0,2,12000000.0,3.0
270,Sarjapur,913.0,2.0,1,3200000.0,2.0
271,Talaghattapura,1868.0,3.0,2,13100000.0,3.0
272,Kengeri Satellite Town,883.0,2.0,1,4500000.0,2.0
273,Sundara Nagar,900.0,2.0,1,11000000.0,2.0
274,Kogilu,1664.0,2.0,3,7395000.0,3.0
275,Hegde Nagar,2026.0,3.0,2,13200000.0,3.0
276,Balagere,1210.0,2.0,1,8090000.000000001,2.0
277,Meenakunte,4111.0,4.0,2,25000000.0,4.0
278,Kadugodi,1762.0,3.0,3,9145000.0,3.0
279,Jigani,1252.0,3.0,3,5500000.0,3.0
280,Gollarapalya Hosahalli,861.0,2.0,1,3450000.0,2.0
281,7th Phase JP Nagar,1420.0,2.0,1,10000000.0,3.0
282,Srirampura,1450.0,6.0,0,25000000.0,6.0
283,Electronics City Phase 1,1490.0,3.0,1,7880000.0,3.0
284,Bisuvanahalli,1075.0,2.0,1,4600000.0,3.0
285,Old Madras Road,1425.0,2.0,2,9400000.0,3.0
286,Kalena Agrahara,1200.0,2.0,1,4000000.0,2.0
287,Kaggadasapura,1280.0,2.0,2,5600000.0,3.0
288,Silver Springs Layout,1084.0,2.0,2,5000000.0,2.0
289,Chandapura,1015.0,2.0,2,2588000.0,2.0
290,Kanakpura Road,1017.0,2.0,1,5125000.0,2.0
291,Haralur Road,1027.0,2.0,2,4400000.0,2.0
292,Electronic City Phase II,1069.0,2.0,2,4500000.0,2.0
293,Hebbal,1349.0,2.0,1,9820000.0,2.0
294,9th Phase JP Nagar,1005.0,2.0,1,5000000.0,2.0
295,Jakkur,1417.0,2.0,3,7500000.0,2.0
296,TC Palaya,1475.0,3.0,1,9800000.0,3.0
297,Maruthi Sevanagar,950.0,2.0,2,4700000.0,2.0
298,RMV 2nd Stage,2000.0,4.0,0,12000000.0,4.0
299,Giri Nagar,880.0,3.0,1,14000000.0,3.0
300,Sarjapur  Road,1863.0,3.0,2,10400000.0,4.0
301,Singasandra,1010.0,2.0,1,2950000.0,2.0
302,Kalena Agrahara,1425.0,2.0,1,7000000.0,3.0
303,Vijayanagar,1450.0,3.0,0,10000000.0,3.0
304,Kothanur,1847.0,3.0,2,10500000.0,3.0
305,AECS Layout,1100.0,2.0,3,4500000.0,2.0
306,Kanakpura Road,525.0,1.0,1,2600000.0,1.0
307,Mallasandra,1665.0,3.0,2,9500000.0,3.0
308,Begur,1664.0,4.0,3,6500000.0,4.0
309,JP Nagar,1850.0,3.0,3,15000000.0,3.0
310,Panathur,1438.0,2.0,3,10000000.0,2.0
311,Sunder Ram Shetty Nagar,1560.0,3.0,3,11500000.0,3.0
312,Yelahanka,1350.0,2.0,1,5555000.0,2.0
313,Kanakpura Road,1550.0,3.0,3,6700000.0,3.0
314,Malleshpalya,1140.0,2.0,2,4650000.0,2.0
315,Srirampura,1200.0,5.0,2,18000000.0,5.0
316,Kodathi,850.0,2.0,2,2700000.0,2.0
317,Whitefield,1280.0,2.0,2,7500000.0,2.0
318,Munnekollal,1170.0,2.0,2,5200000.0,2.0
319,Motappa Layout,1113.0,2.0,1,5100000.0,2.0
320,Hennur Road,1385.0,2.0,1,8309000.0,2.0
321,Electronic City,1128.0,2.0,1,6500000.0,2.0
322,Marathahalli,1200.0,2.0,2,12800000.0,2.0
323,Akshaya Vana,1200.0,4.0,3,16500000.0,4.0
324,Rajaji Nagar,2390.0,3.0,2,41500000.0,3.0
325,Giri Nagar,2400.0,4.0,1,40000000.0,4.0
326,Haralur Road,1464.0,3.0,2,5600000.0,3.0
327,Manayata Tech Park,1200.0,2.0,2,5500000.0,2.0
328,Kaval Byrasandra,1200.0,2.0,2,5200000.0,2.0
329,Kaggalipura,1150.0,2.0,1,5500000.0,3.0
330,Basavanna Nagar,1645.0,3.0,2,9500000.0,3.0
331,Sarjapur  Road,1000.0,2.0,1,6700000.0,2.0
332,Haralur Road,2650.0,4.0,2,19800000.0,4.0
333,6th Phase JP Nagar,1192.0,2.0,2,7400000.0,2.0
334,Ulsoor,2135.0,3.0,2,21500000.0,3.0
335,Whitefield,1173.0,2.0,1,5800000.0,2.0
336,Uttarahalli,1020.0,2.0,2,4500000.0,2.0
337,Thigalarapalya,3122.0,6.0,2,23000000.0,4.0
338,Somasundara Palya,1600.0,3.0,3,6400000.0,3.0
339,T.C PALYA,1200.0,2.0,0,7900000.0,2.0
340,Muneshwara Nagar,1230.0,2.0,3,4800000.0,2.0
341,Devarachikkanahalli,1250.0,2.0,2,4000000.0,2.0
342,Kalena Agrahara,1325.0,2.0,2,7600000.0,2.0
343,7th Phase JP Nagar,1850.0,3.0,1,15000000.0,3.0
344,Kanakpura Road,525.0,2.6926096474673513,1,2153000.0,1.0
345,Basaveshwara Nagar,1200.0,2.0,2,6500000.0,2.0
346,Bull Temple Road,1350.0,2.0,0,14000000.0,3.0
347,Bommasandra,1260.0,3.0,1,4936000.0,3.0
348,Prashanth Nagar,1800.0,3.0,0,15000000.0,3.0
349,Suragajakkanahalli,11.0,3.0,2,7400000.0,3.0
350,Ardendale,1100.0,2.0,1,4325000.0,2.0
351,Harlur,1508.0,2.0,1,7700000.0,2.0
352,Sampigehalli,1592.0,3.0,2,7500000.0,3.0
353,Akshaya Nagar,1388.0,2.0,3,5700000.0,2.0
354,Electronic City Phase II,630.0,1.0,1,2835000.0,1.0
355,RMV,2000.0,3.0,2,36500000.0,3.0
356,Banashankari3rd stage bigbazar,1762.0,3.0,1,12500000.0,3.0
357,Bagalur Main Road,950.0,2.0,2,5000000.0,2.0
358,Kodihalli,3252.0,5.0,3,33500000.0,4.0
359,Magadi Road,1116.0,2.0,1,5000000.0,2.0
360,Narayanapura,1308.0,2.0,2,8904000.0,2.0
361,MS Pallya,1200.0,3.0,0,9000000.0,3.0
362,Binny Mills Employees Colony,1500.0,4.0,2,23000000.0,4.0
363,Bannerghatta Road,500.0,1.0,1,1850000.0,1.0
364,Hennur,1075.0,2.0,1,5200000.0,2.0
365,Chandapura,530.0,1.0,0,1166000.0,1.0
366,Bellandur,1205.0,2.0,3,6600000.0,2.0
367,5th Phase JP Nagar,1075.0,2.0,2,6000000.0,2.0
368,KR Puram,930.0,2.0,2,3900000.0,2.0
369,Balagere,1380.0,2.0,1,6000000.0,2.0
370,Hebbal,2483.0,5.0,2,21200000.0,4.0
371,Kodigehaali,1166.0,2.0,2,5500000.0,2.0
372,Bannerghatta Road,1050.0,2.0,1,6500000.0,2.0
373,Gopalapura,2023.71,3.0,2,27500000.0,3.0
374,Begur Road,1200.0,2.0,2,4680000.0,2.0
375,Lakshminarayana Pura,1600.0,2.0,1,10800000.0,3.0
376,Billekahalli,1935.0,3.0,2,11000000.0,3.0
377,8th Phase JP Nagar,451.0,1.0,0,2990000.0,1.0
378,Electronic City,1800.0,3.0,2,9500000.0,3.0
379,Jalahalli,1400.0,3.0,0,7700000.0,3.0
380,Hegde Nagar,1801.0,3.0,2,11500000.0,3.0
381,Mahadevpura,1451.0,2.0,1,9000000.0,2.0
382,Anekal,1200.0,1.0,1,3600000.0,2.0
383,Begur Road,1160.0,2.0,2,4400000.0,2.0
384,Kengeri,1000.0,2.0,1,2500000.0,2.0
385,Kanakpura Road,950.0,2.0,1,4000000.0,2.0
386,"Hoodi Circle,",1629.0,3.0,2,7900000.0,3.0
387,Vijayanagar,1580.0,2.0,0,13400000.0,3.0
388,Vijayanagar,1826.0,3.0,2,12100000.0,3.0
389,7th Phase JP Nagar,1245.0,2.0,1,9400000.0,2.0
390,Raja Rajeshwari Nagar,1145.0,2.0,2,4579000.0,2.0
391,Sompura,825.0,2.0,1,3300000.0,2.0
392,Yeshwanthpur,1693.0,3.0,3,10800000.0,3.0
393,Electronics City Phase 1,1113.27,2.0,2,5300000.0,2.0
394,Ashirvad Colony,1460.0,2.0,1,5800000.0,2.0
395,Doddathoguru,1050.0,2.0,1,3200000.0,2.0
396,Dodda Nekkundi,1260.0,2.0,2,5500000.0,2.0
397,K N Extension,700.0,3.0,1,12000000.0,6.0
398,Hosur Road,1656.0,2.0,1,12000000.0,2.0
399,Chandapura,1208.0,3.0,1,4500000.0,3.0
400,Whitefield,1910.0,3.0,2,16100000.0,3.0
401,Whitefield,3252.0,4.0,1,23000000.0,4.0
402,Battarahalli,1200.0,2.0,1,6500000.0,2.0
403,Gokula Extension,1200.0,4.0,1,17500000.0,4.0
404,7th Phase JP Nagar,1175.0,2.0,1,8200000.0,2.0
405,Kamakshipalya,1000.0,2.0,0,16500000.0,2.0
406,Bannerghatta Road,1200.0,2.0,0,12500000.0,4.0
407,Rajaji Nagar,2390.0,3.0,2,41000000.0,3.0
408,Rajaji Nagar,12000.0,6.0,3,220000000.0,7.0
409,Sultan Palaya,550.0,1.0,1,6200000.0,2.0
410,Kengeri,34.46,1.0,0,1850000.0,1.0
411,Sanne Amanikere,1185.0,2.0,1,3800000.0,2.0
412,Kengeri,750.0,2.0,1,3800000.0,2.0
413,Mahalakshmi Layout,1200.0,7.0,3,25000000.0,6.0
414,Kanakpura Road,1550.0,3.0,3,6450000.0,3.0
415,Amco Colony,1760.0,3.0,2,8800000.0,3.0
416,Billekahalli,1125.0,2.0,2,6200000.0,2.0
417,Nagarbhavi,1350.0,3.0,2,15000000.0,3.0
418,Anandapura,1000.0,2.0,1,5500000.0,2.0
419,Bommasandra Industrial Area,1090.0,2.0,2,3148000.0,2.0
420,TC Palaya,1200.0,2.0,0,6000000.0,2.0
421,Budigere,1991.0,4.0,2,10300000.0,3.0
422,Bommasandra,1060.0,2.0,1,2650000.0,2.0
423,Ambalipura,1105.0,2.0,1,7500000.0,2.0
424,Hoodi,985.0,2.0,2,6700000.0,2.0
425,Chandapura,1533.0,5.0,3,8500000.0,6.0
426,Balagere,1590.0,3.0,2,7900000.0,3.0
427,CV Raman Nagar,1120.0,2.0,2,5500000.0,2.0
428,Samethanahalli,1069.0,2.0,1,5500000.0,2.0
429,Marathahalli,1933.0,3.0,2,14000000.0,3.0
430,Hosur Road,1194.0,2.0,0,6900000.0,2.0
431,Brookefield,1150.0,2.0,3,6900000.0,2.0
432,Yelenahalli,1240.0,2.0,2,4712000.0,2.0
433,Raja Rajeshwari Nagar,1419.0,2.0,2,4810000.0,2.0
434,7th Phase JP Nagar,1200.0,8.0,1,25000000.0,8.0
435,Richmond Town,2150.0,4.0,1,24000000.0,3.0
436,Suddaguntepalya,1450.0,3.0,2,5500000.0,3.0
437,Udayapur Village,1630.0,3.0,2,6829000.000000001,3.0
438,Dasanapura,708.0,1.0,1,4000000.0,2.0
439,Kasavanhalli,1000.0,4.0,3,11000000.0,3.0
440,Whitefield,11890.0,4.0,3,70000000.0,4.0
441,Bellandur,1250.0,2.0,1,7600000.0,2.0
442,7th Phase JP Nagar,1400.0,2.0,1,9500000.0,3.0
443,Sarjapur  Road,1670.0,2.0,3,5700000.0,3.0
